time,n_flows,secure_allocated_flows,best_effort_flows,degraded_flows,blocked_flows,secure_feasible_ratio,allocated_ratio,mean_security_level,mean_security_margin,mean_functional_score,mean_q_path_raw,mean_p_path_raw,mean_q_share,mean_trust,mean_risk,mean_latency,mean_degradation,SCI,regime
0,5,2,1,2,0,0.4,0.6,0.3209614937447995,-0.1750385062552005,-0.15300875207593576,0.044248548129052115,9.59170710438671,0.4005719263516799,0.8620867724369387,0.20366217951958393,35.918050498064694,0.823320114002526,0.20986426552984988,sparse
1,5,1,1,3,0,0.2,0.4,0.20991169197938545,-0.2860883080206146,-0.37767360025852853,0.022482218245286754,8.404495408138544,0.24866163674981637,0.8553309639449755,0.24808220566886333,55.373642559134225,0.8919681233122697,0.08967417563643137,sparse
2,5,1,2,2,0,0.2,0.6,0.3353352350949765,-0.16066476490502352,-0.11485649578393761,0.04481191275327291,10.313835223684809,0.41853461062990654,0.8582416368795952,0.20364014505292505,28.468659440487528,0.81984657419505,0.10647840740759376,sparse
3,5,1,0,1,3,0.2,0.2,0.1700119822645141,-0.32598801773548586,-0.6046530450720295,0.02530707998849836,4.431973110483887,0.15294010057788404,0.3453034147891027,0.6847702371772488,35.47686567962074,0.9080118238798691,0.0568913300001624,sparse
4,5,1,2,2,0,0.2,0.6,0.3280238054748537,-0.16797619452514628,-0.1188131228694896,0.037699041680006984,11.387363833344654,0.3605163446282924,0.868763702126506,0.19851437723863122,30.87197730488981,0.8156379882832668,0.10355602584346517,sparse
5,5,3,0,2,0,0.6,0.6,0.3623648701115684,-0.13363512988843157,-0.10368611872113351,0.04726484422272337,11.254876688290882,0.3331118351953133,0.8592578636157848,0.2155400700802978,29.262397933689225,0.8061511468555569,0.3081288201299051,transition
6,5,1,1,3,0,0.2,0.4,0.2565330153578445,-0.2394669846421555,-0.2438561532856117,0.029417236595807007,9.544776240156983,0.28698886852280103,0.8465320326164507,0.21909347292402268,36.401849098222385,0.8308712042124299,0.0954278207418017,sparse
7,5,2,1,2,0,0.4,0.6,0.3869473350970402,-0.1090526649029598,-0.043081468084771896,0.052619344975322016,11.625704724979261,0.43586601189361823,0.8420713063389111,0.21423181554635,27.055347774725895,0.7957599809589723,0.21806404348253344,sparse
8,5,2,1,2,0,0.4,0.6,0.3973794499976883,-0.09862055000231167,-0.03499607671840518,0.05368244276275273,11.971293934592289,0.40209599149641323,0.8417508718476328,0.20374618761330407,26.47692247509601,0.7899013190771988,0.21688420713583678,sparse
9,5,3,0,2,0,0.6,0.6,0.3925430065938971,-0.10345699340610288,-0.0449633609606061,0.052700064154106496,11.954835729802985,0.4362924196035127,0.8392214984575681,0.2237827069323584,31.04192452141832,0.7886281763944444,0.3261962815828785,transition
