time,flow_id,mission,src,dst,path,hop_count,traffic_demand,key_demand,security_req,priority,path_available,service_feasible,key_feasible,resource_feasible,secure_feasible,functional_score,q_path_raw,p_path_raw,q_path_norm,p_path_norm,q_share,trust_path,latency_path,risk_path,degradation_path,security_level,security_margin,service_deficit,key_deficit,qkd_edge_fraction,method,selection_score,selection_status,allocated,SCI,regime,secure_feasible_ratio,allocated_ratio
0,F1,satellite_telemetry_backhaul,SAT_1,DC_1,SAT_1 -> SAT_2 -> UAV_2 -> BS_2 -> BS_3 -> DC_1,5.0,7.0,0.05,0.58,1.0,True,False,False,False,False,-0.6168423418470532,0.012303823531052015,4.298273460147995,0.09075025160765478,0.17108409055681595,0.3465941513151479,0.8526250255710422,60.95054007053792,0.21970783279583492,0.9691531769813674,0.09447798476040661,-0.4855220152395934,0.3859609342645721,0.316454248274888,0.6,proposed_hybrid,-0.6168423418470532,degraded_unallocated,False,0.2098642655298499,sparse,0.4,0.6
0,F2,secure_satellite_access_delivery,SAT_2,BS_1,SAT_2 -> SAT_1 -> GW_1 -> BS_1,3.0,5.5,0.04,0.52,0.94,True,True,False,False,False,-0.489254160533373,0.009376022944766268,5.602621927089379,0.06915544904957935,0.22300104588895997,0.23670686857099482,0.8375765895268351,63.469951503172595,0.281796226016572,0.940290588302385,0.10265281732320433,-0.4173471826767957,0.0,0.47259870935689735,0.6666666666666666,proposed_hybrid,-0.489254160533373,degraded_unallocated,False,0.2098642655298499,sparse,0.4,0.6
0,F3,uav_control_and_data_return,UAV_1,DC_1,UAV_1 -> BS_2 -> BS_3 -> DC_1,3.0,6.0,0.03,0.48,0.88,True,True,True,True,False,-0.031608369198484865,0.02547594401002104,15.778801552757402,0.18790486737859255,0.628043315242448,0.2302901965845338,0.9158139985325612,23.98968732658026,0.15094264238311472,0.7224334992131367,0.36744624859449093,-0.11255375140550905,0.0,0.0,0.3333333333333333,proposed_hybrid,-0.031608369198484865,best_effort_allocated,True,0.2098642655298499,sparse,0.4,0.6
0,F5,uav_to_local_edge_delivery,UAV_2,BS_3,UAV_2 -> BS_2 -> BS_3,2.0,4.0,0.02,0.46,0.82,True,True,True,True,True,0.29562167003641093,0.08922058305970042,13.083276862603249,0.658071073663812,0.5207534011724885,0.5582434770496227,0.8763466499647596,9.034063768115338,0.15528536501906845,0.5905891389692952,0.5690743840349635,0.10907438403496345,0.0,0.0,0.5,proposed_hybrid,0.29562167003641093,secure_allocated,True,0.2098642655298499,sparse,0.4,0.6
0,F4,gateway_to_edge_service_sync,GW_2,BS_1,GW_2 -> UAV_2 -> BS_2 -> BS_1,3.0,4.5,0.02,0.44,0.78,True,True,True,True,True,0.07703944116282133,0.08486636709972081,9.195561719335528,0.6259553502120772,0.36601075489911283,0.6310249382380999,0.8280715985894953,22.14600982191736,0.21057883138332942,0.8941341665464454,0.4711560340109322,0.0311560340109322,0.0,0.0,0.6666666666666666,proposed_hybrid,0.07703944116282133,secure_allocated,True,0.2098642655298499,sparse,0.4,0.6
1,F1,satellite_telemetry_backhaul,SAT_1,DC_1,SAT_1 -> GW_1 -> UAV_1 -> BS_2 -> DC_1,4.0,7.0,0.05,0.58,1.0,True,False,False,False,False,-0.6462466009287313,0.007224872886885188,5.570030834882368,0.053289047153790986,0.2217038233129218,0.19378337723210717,0.8439364204413846,66.0157822443306,0.27002784460522816,0.9737125689954879,0.09474170892250447,-0.4852582910774955,0.2042813093025189,0.7431156306885267,0.75,proposed_hybrid,-0.6462466009287313,degraded_unallocated,False,0.08967417563643137,sparse,0.2,0.4
1,F2,secure_satellite_access_delivery,SAT_2,BS_1,SAT_2 -> SAT_1 -> GW_1 -> UAV_1 -> BS_2 -> BS_1,5.0,5.5,0.04,0.52,0.94,True,True,False,False,False,-0.5956825800101977,0.0077065310793442005,5.570030834882368,0.056841650297377054,0.2217038233129218,0.20406596294902207,0.8471969500909488,82.8416955734964,0.2800957855805567,0.9922641374804367,0.09741295717438092,-0.4225870428256191,0.0,0.6989636297131172,0.8,proposed_hybrid,-0.5956825800101977,degraded_unallocated,False,0.08967417563643137,sparse,0.2,0.4
1,F3,uav_control_and_data_return,UAV_1,DC_1,UAV_1 -> BS_2 -> DC_1,2.0,6.0,0.03,0.48,0.88,True,True,True,True,True,0.15615324289515292,0.05327127230426993,16.726440958945936,0.39291699469449665,0.6657621871306001,0.37113886948936914,0.9031328158790606,16.363944155101915,0.18064328702285049,0.7026869354657976,0.49438655078413646,0.014386550784136476,0.0,0.0,0.5,proposed_hybrid,0.15615324289515292,secure_allocated,True,0.08967417563643137,sparse,0.2,0.4
1,F5,uav_to_local_edge_delivery,UAV_2,BS_3,UAV_2 -> GW_2 -> BS_3,2.0,4.0,0.02,0.46,0.82,True,True,True,True,False,-0.08221423185344777,0.04420841495593445,9.07919130257998,0.3260713850699733,0.36137886558287213,0.47431997407858334,0.8570767039434387,14.989601566554063,0.18187491286456736,0.7970433601191643,0.3105166261683343,-0.1494833738316657,0.0,0.0,0.5,proposed_hybrid,-0.08221423185344777,best_effort_allocated,True,0.08967417563643137,sparse,0.2,0.4
1,F4,gateway_to_edge_service_sync,GW_2,BS_1,GW_2 -> SAT_2 -> SAT_1 -> UAV_1 -> BS_2 -> BS_1,5.0,4.5,0.02,0.44,0.78,True,True,False,False,False,-0.720377831395419,0.0,5.076783109402071,0.0,0.20207109419146915,0.0,0.8253119293700456,96.65718925618815,0.32776919827111395,0.9941336145004617,0.05250061684757114,-0.3874993831524289,0.0,1.0,0.8,proposed_hybrid,-0.720377831395419,degraded_unallocated,False,0.08967417563643137,sparse,0.2,0.4
