scenario,method,secure_feasible_ratio,allocated_ratio,avg_security_level,avg_security_margin,avg_functional_score,avg_q_share,avg_risk,avg_latency,avg_SCI
compound_stress,latency_first,0.0,0.24166666666666667,0.09106128667068876,-0.40493871332931125,-0.6319562512925443,0.044789214160648586,0.4092529800867658,38.30985754122906,0.0
compound_stress,pqc_trust,0.0,0.24166666666666667,0.09215810017396832,-0.4038418998260317,-0.6298795903585528,0.04280608905174679,0.4083031013557278,40.22904023720339,0.0
compound_stress,proposed_hybrid,0.0,0.24166666666666667,0.08865299154132159,-0.40734700845867844,-0.6264877959057519,0.0455293289577326,0.40226873254438633,39.814398866496525,0.0
compound_stress,qkd_priority,0.0,0.24166666666666667,0.08706938505134426,-0.4089306149486557,-0.6301503464277776,0.04636504111501483,0.40746007927786565,38.52871286591343,0.0
congestion_heavy,latency_first,0.16666666666666666,0.5666666666666667,0.264392888378854,-0.231607111621146,-0.2847194302349432,0.3413486068462394,0.2573923748367209,32.77891003994712,0.08035752640917838
congestion_heavy,pqc_trust,0.15833333333333333,0.5666666666666667,0.26185229788756986,-0.2341477021124301,-0.2987164814238785,0.304861839272714,0.2586541085670952,35.12821919989746,0.07470012767757808
congestion_heavy,proposed_hybrid,0.15833333333333333,0.5666666666666667,0.2739201729224027,-0.22207982707759732,-0.2640071500544782,0.4052883243017355,0.25320495009980654,35.45736788841527,0.07945218831092685
congestion_heavy,qkd_priority,0.08333333333333333,0.5666666666666667,0.22482258084129558,-0.27117741915870447,-0.34120722940664944,0.4231724357061829,0.25701060440708806,41.70194066977061,0.040334208371290446
nominal,latency_first,0.31666666666666665,0.575,0.32744909273356104,-0.16855090726643895,-0.15972564408744366,0.3287386151363531,0.24575838951260554,28.61072302201169,0.15885240372245088
nominal,pqc_trust,0.31666666666666665,0.575,0.3187392133710667,-0.17726078662893333,-0.18226385134934026,0.2833321036592387,0.2465935073776334,31.59933046257364,0.1556376379116016
nominal,proposed_hybrid,0.31666666666666665,0.575,0.3392955431646564,-0.1567044568353436,-0.13309283063288901,0.3977906523743681,0.24216547836997718,31.109488309014534,0.16569777304930797
nominal,qkd_priority,0.3,0.575,0.3042316010686203,-0.1917683989313797,-0.18722950003202338,0.4195613191132546,0.24577775441372163,33.64996983582442,0.15598009139108465
satellite_channel_stress,latency_first,0.008333333333333333,0.4583333333333333,0.15902722899416524,-0.3369727710058348,-0.4440042909141368,0.09687163796581193,0.30708622386577084,35.02208623454126,0.0035129931215274746
satellite_channel_stress,pqc_trust,0.008333333333333333,0.4583333333333333,0.1620963673759099,-0.3339036326240901,-0.4402759553784443,0.09376039214092545,0.30709731900178444,36.80107557642732,0.0035129931215274746
satellite_channel_stress,proposed_hybrid,0.008333333333333333,0.4583333333333333,0.16151007350346636,-0.3344899264965336,-0.43823295220153047,0.09664269881836604,0.30167267038974127,37.486034876217666,0.0035129931215274746
satellite_channel_stress,qkd_priority,0.008333333333333333,0.4583333333333333,0.1555382679300946,-0.3404617320699054,-0.4462434005587779,0.09763377002035867,0.307578917036134,35.274354243568176,0.0035054517503158725
trust_erosion,latency_first,0.16666666666666666,0.5583333333333333,0.24485606741409435,-0.2511439325859056,-0.30268662363215365,0.2607497933787261,0.3072587352671374,30.479772624258125,0.07473109147353195
trust_erosion,pqc_trust,0.15833333333333333,0.5583333333333333,0.2403514990387741,-0.25564850096122593,-0.31643320434889927,0.22237660542851861,0.3066320678873706,33.64290124164862,0.06912574418771868
trust_erosion,proposed_hybrid,0.15833333333333333,0.5583333333333333,0.25293134342787194,-0.243068656572128,-0.2877241041442459,0.29944758619513706,0.3016957258943946,32.80997740374851,0.07324662270999224
trust_erosion,qkd_priority,0.09166666666666666,0.5416666666666666,0.2061209883594422,-0.2898790116405578,-0.3586919266194408,0.3375020705493688,0.30695904993516826,36.46165528692202,0.04144541345284452
